"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2019","Stratum_1"," [counts*km^2]",691944.405216336,65468.4116179954,0.0946151325517644
"1","2020","Stratum_1"," [counts*km^2]",537210.341057096,89248.4066053213,0.166133076347158
"1","2021","Stratum_1"," [counts*km^2]",577938.677817114,60359.2052130798,0.104438770980094
"1","2022","Stratum_1"," [counts*km^2]",515878.767751946,79429.8646152076,0.153970020827453
"1","1982","Stratum_2"," [counts*km^2]",750932.877111635,91043.0168084951,0.121239886524452
"1","1983","Stratum_2"," [counts*km^2]",636006.078299569,76905.8627240807,0.120920012163558
"1","1984","Stratum_2"," [counts*km^2]",358072.39162842,40517.5480526113,0.113154627387909
"1","1985","Stratum_2"," [counts*km^2]",488371.274779517,56250.1003102381,0.115178969802499
"1","1986","Stratum_2"," [counts*km^2]",468263.713056857,57352.6049262829,0.122479285340906
"1","1987","Stratum_2"," [counts*km^2]",934902.104873339,108680.617532256,0.11624812583664
"1","1988","Stratum_2"," [counts*km^2]",860081.815011872,76298.5650568611,0.0887108223021875
"1","1989","Stratum_2"," [counts*km^2]",874530.665972692,77513.6336506134,0.0886345518420436
"1","1990","Stratum_2"," [counts*km^2]",981185.444534481,88248.2045035156,0.0899403930165152
"1","1991","Stratum_2"," [counts*km^2]",593183.334094827,57376.2135229138,0.0967259365276463
"1","1992","Stratum_2"," [counts*km^2]",494541.909922864,48694.9315473756,0.0984647217360624
"1","1993","Stratum_2"," [counts*km^2]",721814.774501756,75469.5377671747,0.104555268793533
"1","1994","Stratum_2"," [counts*km^2]",456540.928656124,52829.9036431161,0.115717781971107
"1","1995","Stratum_2"," [counts*km^2]",358224.938209742,38673.5226169375,0.107958766941831
"1","1996","Stratum_2"," [counts*km^2]",427204.418466739,42481.9901462166,0.0994418323169197
"1","1997","Stratum_2"," [counts*km^2]",346311.736026541,40288.7505924019,0.116336659723579
"1","1998","Stratum_2"," [counts*km^2]",410240.142044733,40847.9847345402,0.0995709111520497
"1","1999","Stratum_2"," [counts*km^2]",679500.805871085,82728.3542984242,0.121748721390213
"1","2000","Stratum_2"," [counts*km^2]",645328.682198307,72083.6423041887,0.111700664006807
"1","2001","Stratum_2"," [counts*km^2]",634103.910339384,67422.9738371901,0.106327957828085
"1","2002","Stratum_2"," [counts*km^2]",502831.037508913,48656.5905840528,0.0967652888435515
"1","2003","Stratum_2"," [counts*km^2]",2474728.5672757,217630.119024619,0.0879410056934835
"1","2004","Stratum_2"," [counts*km^2]",1678074.05016132,154199.741837614,0.0918909042320216
"1","2005","Stratum_2"," [counts*km^2]",1257522.10756597,72974.2481099966,0.0580301910168753
"1","2006","Stratum_2"," [counts*km^2]",1649484.42663692,182150.06036897,0.110428481425769
"1","2007","Stratum_2"," [counts*km^2]",874315.264111865,54921.3422352951,0.0628164055800679
"1","2008","Stratum_2"," [counts*km^2]",1128793.76804626,119283.02116538,0.105672997621024
"1","2009","Stratum_2"," [counts*km^2]",1794188.3712613,220108.690487793,0.12267869640302
"1","2010","Stratum_2"," [counts*km^2]",664779.762385842,71929.1017276802,0.108199896864388
"1","2011","Stratum_2"," [counts*km^2]",696604.392464037,73645.6018535038,0.10572084048021
"1","2012","Stratum_2"," [counts*km^2]",254311.517133736,26301.8796436131,0.103423863535766
"1","2013","Stratum_2"," [counts*km^2]",345608.028301013,38070.8266072253,0.110156082873361
"1","2014","Stratum_2"," [counts*km^2]",417492.175131365,36621.8234531233,0.0877185864420095
"1","2015","Stratum_2"," [counts*km^2]",396505.260500716,34419.945464117,0.0868082946003055
"1","2016","Stratum_2"," [counts*km^2]",463668.14657008,34497.1094641611,0.0744004299612744
"1","2017","Stratum_2"," [counts*km^2]",711484.425037476,53695.4690179924,0.0754696338084477
"1","2018","Stratum_2"," [counts*km^2]",482312.948630111,44228.6154576091,0.0917010741329451
"1","2019","Stratum_2"," [counts*km^2]",691944.405216336,65468.4116179954,0.0946151325517644
"1","2020","Stratum_2"," [counts*km^2]",537210.341057096,89248.4066053213,0.166133076347158
"1","2021","Stratum_2"," [counts*km^2]",577938.677817114,60359.2052130798,0.104438770980094
"1","2022","Stratum_2"," [counts*km^2]",515878.767751946,79429.8646152076,0.153970020827453
"1","1982","Stratum_3"," [counts*km^2]",750932.877111635,91043.0168084951,0.121239886524452
"1","1983","Stratum_3"," [counts*km^2]",636006.078299569,76905.8627240807,0.120920012163558
"1","1984","Stratum_3"," [counts*km^2]",358072.39162842,40517.5480526113,0.113154627387909
"1","1985","Stratum_3"," [counts*km^2]",488371.274779517,56250.1003102381,0.115178969802499
"1","1986","Stratum_3"," [counts*km^2]",468263.713056857,57352.6049262829,0.122479285340906
"1","1987","Stratum_3"," [counts*km^2]",934902.104873339,108680.617532256,0.11624812583664
"1","1988","Stratum_3"," [counts*km^2]",860081.815011872,76298.5650568611,0.0887108223021875
"1","1989","Stratum_3"," [counts*km^2]",874530.665972692,77513.6336506134,0.0886345518420436
"1","1990","Stratum_3"," [counts*km^2]",981185.444534481,88248.2045035156,0.0899403930165152
"1","1991","Stratum_3"," [counts*km^2]",593183.334094827,57376.2135229138,0.0967259365276463
"1","1992","Stratum_3"," [counts*km^2]",494541.909922864,48694.9315473756,0.0984647217360624
"1","1993","Stratum_3"," [counts*km^2]",721814.774501756,75469.5377671747,0.104555268793533
"1","1994","Stratum_3"," [counts*km^2]",456540.928656124,52829.9036431161,0.115717781971107
"1","1995","Stratum_3"," [counts*km^2]",358224.938209742,38673.5226169375,0.107958766941831
"1","1996","Stratum_3"," [counts*km^2]",427204.418466739,42481.9901462166,0.0994418323169197
"1","1997","Stratum_3"," [counts*km^2]",346311.736026541,40288.7505924019,0.116336659723579
"1","1998","Stratum_3"," [counts*km^2]",410240.142044733,40847.9847345402,0.0995709111520497
"1","1999","Stratum_3"," [counts*km^2]",679500.805871085,82728.3542984242,0.121748721390213
"1","2000","Stratum_3"," [counts*km^2]",645328.682198307,72083.6423041887,0.111700664006807
"1","2001","Stratum_3"," [counts*km^2]",634103.910339384,67422.9738371901,0.106327957828085
"1","2002","Stratum_3"," [counts*km^2]",502831.037508913,48656.5905840528,0.0967652888435515
"1","2003","Stratum_3"," [counts*km^2]",2474728.5672757,217630.119024619,0.0879410056934835
"1","2004","Stratum_3"," [counts*km^2]",1678074.05016132,154199.741837614,0.0918909042320216
"1","2005","Stratum_3"," [counts*km^2]",1257522.10756597,72974.2481099966,0.0580301910168753
"1","2006","Stratum_3"," [counts*km^2]",1649484.42663692,182150.06036897,0.110428481425769
"1","2007","Stratum_3"," [counts*km^2]",874315.264111865,54921.3422352951,0.0628164055800679
"1","2008","Stratum_3"," [counts*km^2]",1128793.76804626,119283.02116538,0.105672997621024
"1","2009","Stratum_3"," [counts*km^2]",1794188.3712613,220108.690487793,0.12267869640302
"1","2010","Stratum_3"," [counts*km^2]",664779.762385842,71929.1017276802,0.108199896864388
"1","2011","Stratum_3"," [counts*km^2]",696604.392464037,73645.6018535038,0.10572084048021
"1","2012","Stratum_3"," [counts*km^2]",254311.517133736,26301.8796436131,0.103423863535766
"1","2013","Stratum_3"," [counts*km^2]",345608.028301013,38070.8266072253,0.110156082873361
"1","2014","Stratum_3"," [counts*km^2]",417492.175131365,36621.8234531233,0.0877185864420095
"1","2015","Stratum_3"," [counts*km^2]",396505.260500716,34419.945464117,0.0868082946003055
"1","2016","Stratum_3"," [counts*km^2]",463668.14657008,34497.1094641611,0.0744004299612744
"1","2017","Stratum_3"," [counts*km^2]",711484.425037476,53695.4690179924,0.0754696338084477
"1","2018","Stratum_3"," [counts*km^2]",482312.948630111,44228.6154576091,0.0917010741329451
"1","2019","Stratum_3"," [counts*km^2]",691944.405216336,65468.4116179954,0.0946151325517644
"1","2020","Stratum_3"," [counts*km^2]",537210.341057096,89248.4066053213,0.166133076347158
"1","2021","Stratum_3"," [counts*km^2]",577938.677817114,60359.2052130798,0.104438770980094
"1","2022","Stratum_3"," [counts*km^2]",515878.767751946,79429.8646152076,0.153970020827453
"1","1982","Stratum_4"," [counts*km^2]",750932.877111635,91043.0168084951,0.121239886524452
"1","1983","Stratum_4"," [counts*km^2]",636006.078299569,76905.8627240807,0.120920012163558
"1","1984","Stratum_4"," [counts*km^2]",358072.39162842,40517.5480526113,0.113154627387909
"1","1985","Stratum_4"," [counts*km^2]",488371.274779517,56250.1003102381,0.115178969802499
"1","1986","Stratum_4"," [counts*km^2]",468263.713056857,57352.6049262829,0.122479285340906
"1","1987","Stratum_4"," [counts*km^2]",934902.104873339,108680.617532256,0.11624812583664
"1","1988","Stratum_4"," [counts*km^2]",860081.815011872,76298.5650568611,0.0887108223021875
"1","1989","Stratum_4"," [counts*km^2]",874530.665972692,77513.6336506134,0.0886345518420436
"1","1990","Stratum_4"," [counts*km^2]",981185.444534481,88248.2045035156,0.0899403930165152
"1","1991","Stratum_4"," [counts*km^2]",593183.334094827,57376.2135229138,0.0967259365276463
"1","1992","Stratum_4"," [counts*km^2]",494541.909922864,48694.9315473756,0.0984647217360624
"1","1993","Stratum_4"," [counts*km^2]",721814.774501756,75469.5377671747,0.104555268793533
"1","1994","Stratum_4"," [counts*km^2]",456540.928656124,52829.9036431161,0.115717781971107
"1","1995","Stratum_4"," [counts*km^2]",358224.938209742,38673.5226169375,0.107958766941831
"1","1996","Stratum_4"," [counts*km^2]",427204.418466739,42481.9901462166,0.0994418323169197
"1","1997","Stratum_4"," [counts*km^2]",346311.736026541,40288.7505924019,0.116336659723579
"1","1998","Stratum_4"," [counts*km^2]",410240.142044733,40847.9847345402,0.0995709111520497
"1","1999","Stratum_4"," [counts*km^2]",679500.805871085,82728.3542984242,0.121748721390213
"1","2000","Stratum_4"," [counts*km^2]",645328.682198307,72083.6423041887,0.111700664006807
"1","2001","Stratum_4"," [counts*km^2]",634103.910339384,67422.9738371901,0.106327957828085
"1","2002","Stratum_4"," [counts*km^2]",502831.037508913,48656.5905840528,0.0967652888435515
"1","2003","Stratum_4"," [counts*km^2]",2474728.5672757,217630.119024619,0.0879410056934835
"1","2004","Stratum_4"," [counts*km^2]",1678074.05016132,154199.741837614,0.0918909042320216
"1","2005","Stratum_4"," [counts*km^2]",1257522.10756597,72974.2481099966,0.0580301910168753
"1","2006","Stratum_4"," [counts*km^2]",1649484.42663692,182150.06036897,0.110428481425769
"1","2007","Stratum_4"," [counts*km^2]",874315.264111865,54921.3422352951,0.0628164055800679
"1","2008","Stratum_4"," [counts*km^2]",1128793.76804626,119283.02116538,0.105672997621024
"1","2009","Stratum_4"," [counts*km^2]",1794188.3712613,220108.690487793,0.12267869640302
"1","2010","Stratum_4"," [counts*km^2]",664779.762385842,71929.1017276802,0.108199896864388
"1","2011","Stratum_4"," [counts*km^2]",696604.392464037,73645.6018535038,0.10572084048021
"1","2012","Stratum_4"," [counts*km^2]",254311.517133736,26301.8796436131,0.103423863535766
"1","2013","Stratum_4"," [counts*km^2]",345608.028301013,38070.8266072253,0.110156082873361
"1","2014","Stratum_4"," [counts*km^2]",417492.175131365,36621.8234531233,0.0877185864420095
"1","2015","Stratum_4"," [counts*km^2]",396505.260500716,34419.945464117,0.0868082946003055
"1","2016","Stratum_4"," [counts*km^2]",463668.14657008,34497.1094641611,0.0744004299612744
"1","2017","Stratum_4"," [counts*km^2]",711484.425037476,53695.4690179924,0.0754696338084477
"1","2018","Stratum_4"," [counts*km^2]",482312.948630111,44228.6154576091,0.0917010741329451
"1","2019","Stratum_4"," [counts*km^2]",691944.405216336,65468.4116179954,0.0946151325517644
"1","2020","Stratum_4"," [counts*km^2]",537210.341057096,89248.4066053213,0.166133076347158
"1","2021","Stratum_4"," [counts*km^2]",577938.677817114,60359.2052130798,0.104438770980094
"1","2022","Stratum_4"," [counts*km^2]",515878.767751946,79429.8646152076,0.153970020827453
